"","day","Measure","ParameterGroup","Mean","median","sd","sem"
"39","0days","left__back__average","ProtractionRetraction_sidePrsp",-0.679064969482766,-1.52655665885959e-16,1.91398606525642,0.781381539112587
"40","0days","left__back__median","ProtractionRetraction_sidePrsp",-0.638747862297413,0,2.23217000486724,0.911279588511762
"41","0days","left__back__movement_per_step","moement_per_step_sidePersp",107.577200978169,107.386574799142,13.7333336706473,5.60660999341156
"42","0days","left__back__protraction","ProtractionRetraction_sidePrsp",-0.413457633867338,0,1.68367706467135,0.687358283345295
"43","0days","left__back__retraction","ProtractionRetraction_sidePrsp",-0.775705254535582,-5.65519853168439e-16,2.44510720633758,0.998210836988187
"44","0days","left__back__seconds","duration_step_sidePersp",0.279166666666667,0.279166666666667,0.035256993002177,0.0143936071200351
"45","0days","left__front__average","ProtractionRetraction_sidePrsp",0.243046908486953,-6.93889390390723e-17,0.986473828382073,0.402726254024323
"46","0days","left__front__median","ProtractionRetraction_sidePrsp",0.34381464467339,0,1.2695024096013,0.518272188459485
"47","0days","left__front__protraction","ProtractionRetraction_sidePrsp",0.179009828805254,-5.68989300120393e-16,0.616906505782947,0.251851026361923
"48","0days","left__front__retraction","ProtractionRetraction_sidePrsp",0.0661458304823466,0,1.45973101741491,0.595932692396712
"49","0days","left__front__seconds","duration_step_sidePersp",0.266666666666667,0.258333333333333,0.0649786289653931,0.0265274141918074
"50","0days","LF__avg_Angle","Angles_downPersp",42.9083897060372,43.8840018350623,3.71039992689316,1.51476442709137
"51","0days","LF__max_Angle","Angles_downPersp",76.4303554490485,77.0334730647604,3.04098583382873,1.2414772679854
"52","0days","LF__min_Angle","Angles_downPersp",19.15994888466,20.4775909332737,4.74329090527286,1.93644040325044
"53","0days","max_Angle__left__back__hip_ankle_toe","angles_horizontal_sidePersp",97.3085294765071,100.515363571933,22.4493915565575,9.16492572491847
"54","0days","max_Angle__left__back__iliac_hip_ankle","angles_horizontal_sidePersp",113.250245163412,112.593130811696,7.79228957954887,3.1811888996502
"55","0days","max_Angle__left__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",104.355841368543,107.527143942833,8.10400650673221,3.30844680228145
"56","0days","max_Angle__left__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",84.5193312167749,85.6625127795886,5.86052945705592,2.39255113205619
"57","0days","max_Angle__right__back__hip_ankle_toe","angles_horizontal_sidePersp",93.1714900021131,91.1101357839154,13.6869494164705,5.58767370093944
"58","0days","max_Angle__right__back__iliac_hip_ankle","angles_horizontal_sidePersp",116.361602358189,115.196530043007,4.57295667149624,1.86690174350366
"59","0days","max_Angle__right__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",101.151530658778,101.724952568463,5.67097079668683,2.31516413301789
"60","0days","max_Angle__right__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",95.4557649878139,96.2997905457443,6.55047039132771,2.67421833899369
"61","0days","min_Angle__left__back__hip_ankle_toe","angles_horizontal_sidePersp",145.55524110767,145.871489018931,7.82523126471504,3.19463728630429
"62","0days","min_Angle__left__back__iliac_hip_ankle","angles_horizontal_sidePersp",169.930845381591,167.956948662248,6.35511541730286,2.59446500481443
"63","0days","min_Angle__left__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",180.814232209744,181.1450990631,8.62739127019317,3.52211773721922
"64","0days","min_Angle__left__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",160.834418452717,161.681435473236,6.1391695465233,2.50630547223595
"65","0days","min_Angle__right__back__hip_ankle_toe","angles_horizontal_sidePersp",133.473620162287,130.856894180399,12.6164408576999,5.15064041189444
"66","0days","min_Angle__right__back__iliac_hip_ankle","angles_horizontal_sidePersp",164.517593092245,162.451483810307,5.76140486976429,2.35208368875145
"67","0days","min_Angle__right__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",167.785428624778,167.416113518565,4.52129769704575,1.84581205549713
"68","0days","min_Angle__right__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",162.622534918247,160.651942694983,8.11344266643369,3.31229909834812
"69","0days","r-back-ankle__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0353235337780956,0,0.490377067491779,0.200195599486201
"70","0days","r-back-ankle__Movement","VerticalHeight_Analysis_sidePersp",-0.213447862042575,0,1.12502967600365,0.459291441949605
"71","0days","r-back-toe__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0241731871913431,0,0.199716902670875,0.0815340840921226
"72","0days","r-back-toe__Movement","VerticalHeight_Analysis_sidePersp",-0.198964984391719,0,0.708795496004639,0.28936454953238
"73","0days","r-elbow__Average_Height","VerticalHeight_Analysis_sidePersp",-0.131366188152519,0,0.322198035329345,0.13153679711402
"74","0days","r-elbow__Movement","VerticalHeight_Analysis_sidePersp",-0.114910212914605,0,0.658361336295345,0.268774890050079
"75","0days","r-front-toe-tip__Average_Height","VerticalHeight_Analysis_sidePersp",0.0131486265092697,0,0.136016418956095,0.0555284705138424
"76","0days","r-front-toe-tip__Movement","VerticalHeight_Analysis_sidePersp",-0.111820569491105,0,0.536841235102583,0.219164516481138
"77","0days","r-head__Average_Height","VerticalHeight_Analysis_sidePersp",0.350512961433103,0,0.807633066401064,0.361184487469876
"78","0days","r-head__Movement","VerticalHeight_Analysis_sidePersp",0.255051898680078,0,1.86641691451204,0.834687019040868
"79","0days","r-hip__Average_Height","VerticalHeight_Analysis_sidePersp",0.230028737613127,0,0.480804247827217,0.196287512223225
"80","0days","r-hip__Movement","VerticalHeight_Analysis_sidePersp",0.345994884932908,0,0.928294513519763,0.378974648191427
"81","0days","r-iliac-crest__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0352132690691833,0,0.231819061263214,0.0946397354576446
"82","0days","r-iliac-crest__Movement","VerticalHeight_Analysis_sidePersp",0.0178243921968763,0,0.530762014127694,0.216682684910788
"83","0days","r-shoulder__Average_Height","VerticalHeight_Analysis_sidePersp",0.108940298727795,0,0.504838287664432,0.252419143832216
"84","0days","r-shoulder__Movement","VerticalHeight_Analysis_sidePersp",0.043994616421314,0,0.90040594428297,0.450202972141485
"85","0days","r-tail-base__Average_Height","VerticalHeight_Analysis_sidePersp",0.112210126083082,0,0.442022524383799,0.180454939926207
"86","0days","r-tail-base__Movement","VerticalHeight_Analysis_sidePersp",0.121085302579271,0,1.85107442009161,0.755697967523785
"87","0days","r-wrist__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0902098350697706,0,0.35954569453445,0.146783915137332
"88","0days","r-wrist__Movement","VerticalHeight_Analysis_sidePersp",-0.174516611860428,0,0.616964191951949,0.251874576641802
"89","0days","RB__avg_Angle","Angles_downPersp",47.1957678561283,46.969909917137,1.82373245880689,0.744535658571369
"90","0days","RB__max_Angle","Angles_downPersp",84.6649677629169,83.7165482084524,2.465478729242,1.00652747638806
"91","0days","RB__min_Angle","Angles_downPersp",13.9929955879473,13.1602282606114,4.23182199081362,1.72763409329704
"92","0days","RF__avg_Angle","Angles_downPersp",43.5402523264233,43.2483748316581,1.89996757427665,0.775658514135215
"93","0days","RF__max_Angle","Angles_downPersp",71.780079371205,70.6338694907142,4.22543791438927,1.72502780501061
"94","0days","RF__min_Angle","Angles_downPersp",23.3019609833217,22.7119882140506,1.90354331383676,0.777118303697776
"95","0days","right__back__average","ProtractionRetraction_sidePrsp",-0.0934093396209211,1.38777878078145e-17,2.8386627204775,1.15887920283844
"96","0days","right__back__median","ProtractionRetraction_sidePrsp",-0.013079888100825,0,2.86042792504479,1.16776481039463
"97","0days","right__back__movement_per_step","moement_per_step_sidePersp",106.300276909884,102.292936675593,13.1875945386553,5.38381292573661
"98","0days","right__back__protraction","ProtractionRetraction_sidePrsp",-0.0344637688593874,-5.55111512312578e-16,2.28378097315436,0.932349678084164
"99","0days","right__back__retraction","ProtractionRetraction_sidePrsp",-0.348386540299127,-5.68989300120393e-16,2.95103670907036,1.20475569157408
"100","0days","right__back__seconds","duration_step_sidePersp",0.2875,0.258333333333333,0.0557150488348226,0.022745573439927
"101","0days","right__front__average","ProtractionRetraction_sidePrsp",-0.00158989542044131,-1.66533453693773e-16,0.545455832631644,0.222681411195412
"102","0days","right__front__median","ProtractionRetraction_sidePrsp",0.208356189763457,0,0.723776573025262,0.295480548615357
"103","0days","right__front__protraction","ProtractionRetraction_sidePrsp",0.0273793959148872,5.55111512312578e-16,0.552271758684143,0.225464001354273
"104","0days","right__front__retraction","ProtractionRetraction_sidePrsp",0.374317408937955,-5.55111512312578e-16,1.58522285365506,0.647164520008923
"105","0days","right__front__seconds","duration_step_sidePersp",0.272222222222222,0.258333333333333,0.0327730693416725,0.0133795495319914
"106","0days","stride_length_sd_diff","SynchrCycle_downPersp",1.5885592875006,1.49060179871069,0.865314544713044,0.38698042877953
"107","3days","avg_Angle__left__back__hip_ankle_toe","angles_horizontal_sidePersp",118.403912714544,120.502352579662,10.859565033081,4.85654512400979
"108","3days","avg_Angle__left__back__iliac_hip_ankle","angles_horizontal_sidePersp",150.424707426557,144.236131972989,10.8726666003375,4.86240432300924
"109","3days","avg_Angle__left__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",137.699844270121,137.402020244697,8.80140488985677,3.93610792624376
"110","3days","avg_Angle__left__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",125.843388869989,125.952983030998,2.47106018366064,1.10509170943166
"111","3days","avg_Angle__right__back__hip_ankle_toe","angles_horizontal_sidePersp",107.697238577589,108.207137675692,8.54582399747674,3.8218086764214
"112","3days","avg_Angle__right__back__iliac_hip_ankle","angles_horizontal_sidePersp",151.228498416064,151.476094222368,3.1939846847546,1.4283933748409
"113","3days","avg_Angle__right__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",130.372913217861,131.04590920196,4.32809835787302,1.93558442830186
"114","3days","avg_Angle__right__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",134.169538522431,135.302145307006,3.32929100120941,1.48890419911652
"115","3days","avg_duration","SynchrCycle_downPersp",0.5,0.6,0.168737139427638,0.0754615428178118
"116","3days","avg_stance_time","SynchrCycle_downPersp",0.213333333333333,0.183333333333333,0.0649786289653931,0.0290593262902712
"117","3days","avg_stride_length","SynchrCycle_downPersp",5.39243162001323,5.35128872068513,1.81405849663444,0.811271622727137
"118","3days","avg_swing_time","SynchrCycle_downPersp",0.13,0.133333333333333,0.0074535599249993,0.00333333333333333
"119","3days","duration_sd_diff","SynchrCycle_downPersp",NA,NA,NA,NA
